Cena,Vrsta ponudbe,Lokacija vozila,Znamka avtomobila,Model avtomobila,Tip avtomobila,Leto izdelave,Leto modela,V prometu od,Prva registracija v RS,Registracija do,Prevoženi kilometri:,Motor,Moč motorja:,Delovna prostornina:,Menjalnik,Poraba goriva,Ekološka kategorija vozila,Lastnik,Servisna knjiga,Garažiran,Število prestav,Plin,Najvišja emisija CO2,Kupim,Stanje,Garancija,Luksuzno vozilo
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,Prodam,"""Obalno-kraška",Smart,fortwo coupe,passion cdi DPF Softouch,2013,2013,2013,2014,06 / 2022,190000 ,Diezel,40 ,799 ,Avtomatski,3.3 l/100km,Euro 5,drugi,Da,Da,,,,,,,
2000,Prodam,"""Osrednjeslovenska",Peugeot,206,14HDI,2006,2006,2006,2006,,159000 ,Diezel,50 ,1398 ,Mehanski menjalnik,,,drugi,,,,,,,,,
0,,"""Podravska",VW,Golf I,N/A,1996,,1996,1900,,111111 ,Diezel,55 ,1896 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",BMW,serija 1,118d Advantage PO DELIH ALI V ,2006,,2006,1900,,1 ,Diezel,90 ,1995 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Audi,A6,2.0 TDI DPF po delih ali v cel,2007,,2007,1900,,1 ,Diezel,103 ,1968 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Hyundai,Accent,1.3 GLi PO DELIH ALI V CELOTI,2002,,2002,1900,,1 ,Bencin,63 ,1341 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Mercedes-Benz,Drugi modeli,N/A,2006,,2006,1900,,111111 ,Diezel,80 ,1991 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Fiat,Stilo,1.9 JTD po delih ali v celoti,2004,,2004,1900,,1 ,Diezel,59 ,1910 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Fiesta,Colourline 1.4 TDCi PO DELIH A,2011,,2011,1900,,1 ,Diezel,50 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Citroën,Xsara Picasso,1.6i 16V Elegance Plus po deli,2008,,2008,1900,,1 ,Bencin,80 ,1587 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Focus,2.0 TDCi Ghia DPF Po delih ali,2009,,2009,1900,,1 ,Diezel,100 ,1997 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Alfa Romeo,147,N/A,2003,,2003,1900,,111111 ,Bencin,88 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Mondeo Karavan,2.0 TDCi PO DELIH ALI V CELOTI,2004,,2004,1900,,1 ,Diezel,96 ,1998 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Galaxy,2.0 TDCi Trend DPF Avt. po del,2008,,2008,1900,,1 ,Diezel,96 ,1997 ,Avtomatski,,,,,,,,,,,,
0,,"""Podravska",VW,Golf I,N/A,2005,,2005,1900,,111111 ,Bencin,85 ,1598 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Kia,Rio,N/A,2003,,2003,1900,,111111 ,Bencin,60 ,1343 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Citroën,C5,N/A,2009,,2009,1900,,1111111 ,Diezel,80 ,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Fiat,Grande Punto,ACTIVE 1.2 8V PO DELIH ALI V C,2007,,2007,1900,,1 ,Bencin,48 ,1242 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Chevrolet,Kalos,N/A,2005,,2005,1900,,111111 ,Bencin,69 ,1399 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Hyundai,Getz,N/A,2004,,2004,1900,,11111 ,Bencin,62 ,1341 ,Mehanski menjalnik,,,,,,,,,,,,
5000,Prodam,"""Posavska",Citroën,C5,Tourer 2.0 HDI,2014,2014,2014,2014,06 / 2022,199000 ,Diezel,103 ,1997 ,Mehanski menjalnik,5.4 l/100km,,,,,6 stopenj,,,,,,
0,,"""Podravska",Ford,Focus,1.6 Ti-VCT Sport PO DELIH ALI ,2012,,2012,1900,,1 ,Bencin,77 ,1596 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Volvo,S40,N/A,1997,,1997,1900,,111111 ,Bencin,85 ,1731 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",BMW,serija 5,523i PO DELIH ALI V CELOTI,1998,,1998,1900,,1 ,Bencin,125 ,2494 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Hyundai,i30,1.4 CVVT PO DELIH ALI V CELOTI,2011,,2011,1900,,1 ,Bencin,80 ,1396 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Focus,1.6 Ambiente po delih ali v ce,2008,,2008,1900,,1 ,Bencin,74 ,1596 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Citroën,C5,1.6 HDi Attraction FAP PO DELI,2009,,2009,1900,,1 ,Diezel,80 ,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Ford,Transit,CONECT 1.8 TDCI ,2005,,2005,1900,,11111 ,Diezel,,1753 ,Mehanski menjalnik,,,,,,,,,,,,
3300,Prodam,"""Osrednjeslovenska",VW,Passat Variant,2.0 TDI  4X4,2006,2006,2006,2006,,335000 ,Diezel,108 ,2 ,Mehanski menjalnik,,,,,Da,,,,,,,
0,,"""Podravska",Renault,Kangoo,N/A,2010,,2010,1900,,111111 ,Diezel,63 ,1461 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",Fiat,Seicento,PO DELIH ALI V CELOTI,2001,,2001,1900,,1 ,Bencin,40 ,1108 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Podravska",VW,Sharan,1.9 TDI  ,2000,,2000,1900,,11111 ,Diezel,81 ,1896 ,,,,,,,,,,,,,
0,,"""Podravska",Renault,Clio,1.2 16V Dynamique ,2011,,2011,1900,,11111 ,Bencin,55 ,1149 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Polo,BJ 1.2 Comfortline,2010,,2010,1900,,11111 ,Bencin,44 ,1198 ,,,,,,,,,,,,,
0,,"""Podravska",VW,Golf Plus,Comfortline 1.9 TDI ,2007,,2007,1900,,11111 ,Diezel,77 ,1896 ,,,,,,,,,,,,,
0,,"""Podravska",BMW,serija 3, 320d  ,2008,,2008,1900,,11111 ,Diezel,120 ,1995 ,,,,,,,,,,,,,
0,,"""Podravska",BMW,serija 5 Touring, 530d touring AVT.  ,2007,,2007,1900,,11111 ,Diezel,170 ,2993 ,,,,,,,,,,,,,
10,,Podravska,Fiat,Stilo,N/A,2004,,2004,1900,,1 ,Diezel,85 ,1910 ,Mehanski menjalnik,,,,,,,,,,,,
10,,Podravska,Ford,C-Max,N/A,2003,,2003,1900,,1 ,Bencin,81 ,1598 ,,,,,,,,,,,,,
10,,Podravska,Ford,C-Max,N/A,2006,,2006,1900,,1 ,Diezel,85 ,1753 ,,,,,,,,,,,,,
0,,"""Podravska",Hyundai,Sonata,2.4 GLS TOP-K  ,2007,,2007,1900,,11111 ,Bencin,119 ,2359 ,,,,,,,,,,,,,
0,,"""Podravska",Ford,Focus Karavan,2.0 TDCi Ghia PO DELIH ALI V C,2008,,2008,1900,,1 ,Diezel,100 ,1997 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Citroën,C4,1.6 Hdi exclusive,2012,,2012,1900,,78000 ,Diezel,82 ,1560 ,Mehanski menjalnik,,,,,,,,,,,,
0,,"""Osrednjeslovenska",Citroën,C3,1.4 attraction +plin,2011,,2011,1900,,75000 ,Bencin,54 ,1360 ,Mehanski menjalnik,,,,,,,,,,,,
